predictor_label,test_index,feasible,recourse_band,original_score_band,solver_status,solver_family,original_score,new_score,total_cost,n_changed_features,changed_features,validity_reconstructed_score,validity_passes_threshold
xcreditscore_lattice,2,False,infeasible,very_high_risk,gurobi_exact:Infeasible,gurobi_exact,0.5884691476821899,0.5884691476821899,0.0,0,{},0.5884691476821899,False
xcreditscore_lattice,4,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,gurobi_exact,0.7416170835494995,0.7313588261604309,0.2721488950372685,1,"{""BILL_AMT3"": 0.13607444751863426}",0.7313588261604309,False
xcreditscore_lattice,8,False,infeasible,moderate_risk,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.3677075505256653,0.35122552514076233,0.31625761516574447,1,"{""BILL_AMT3"": 0.15812880758287223}",0.35122552514076233,False
xcreditscore_lattice,15,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.6360411047935486,0.6199676990509033,0.31775468256323436,1,"{""BILL_AMT3"": 0.15887734128161718}",0.6199676990509033,False
xcreditscore_lattice,19,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,gurobi_exact,0.8241280913352966,0.8170503377914429,0.27414596679875014,1,"{""BILL_AMT3"": 0.13707298339937507}",0.8170503377914429,False
xcreditscore_lattice,21,False,near_feasible,near_threshold,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.320130318403244,0.30300381779670715,0.31007100214708394,1,"{""BILL_AMT3"": 0.15503550107354197}",0.30300381779670715,False
xcreditscore_lattice,23,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.8068868517875671,0.7943103909492493,0.31164203920610256,1,"{""BILL_AMT3"": 0.15582101960305128}",0.7943103909492493,False
xcreditscore_lattice,29,False,infeasible,high_risk,gurobi_exact:Infeasible|refined_6,gurobi_exact,0.40753886103630066,0.39549314975738525,0.27324425698675103,1,"{""BILL_AMT3"": 0.13662212849337552}",0.39549314975738525,False
xcreditscore_lattice,30,True,feasible,near_threshold,gurobi_exact:Infeasible|refined_3,gurobi_exact,0.31436383724212646,0.29755160212516785,0.15529472218828008,1,"{""BILL_AMT3"": 0.07764736109414004}",0.29755160212516785,True
xcreditscore_lattice,37,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_5,gurobi_exact,0.6143829226493835,0.6072002649307251,0.2259683697872119,1,"{""BILL_AMT3"": 0.11298418489360595}",0.6072002649307251,False
