test_index,feasible,recourse_band,original_score_band,solver_status,original_score,new_score,score_gap_to_threshold,total_cost,changed_features
65,False,near_feasible,near_threshold,gurobi_exact:Optimal,0.31288424134254456,0.31288424134254456,0.012884241342544567,2.7755575615628914e-15,{}
122,False,infeasible,moderate_risk,gurobi_exact:Optimal|refined_4,0.36093491315841675,0.36074531078338623,0.06074531078338624,0.17840707826239424,"{""NumberOfOpenCreditLinesAndLoans"": -0.09911504347910638}"
196,False,infeasible,high_risk,gurobi_exact:Infeasible|refined_3,0.43940600752830505,0.43936803936958313,0.13936803936958314,0.0536842105263158,"{""NumberOfOpenCreditLinesAndLoans"": -0.02982456140350878}"
338,False,infeasible,moderate_risk,gurobi_exact:Optimal|refined_5,0.3574499487876892,0.3572307825088501,0.05723078250885011,0.08210526315789754,"{""NumberOfOpenCreditLinesAndLoans"": 0.0456140350877193}"
404,False,infeasible,moderate_risk,gurobi_exact:Optimal|refined_5,0.35071861743927,0.35050132870674133,0.050501328706741344,0.08210526315789753,"{""NumberOfOpenCreditLinesAndLoans"": 0.0456140350877193}"
405,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_5,0.7749611735343933,0.7747946381568909,0.4747946381568909,0.08210526315789474,"{""NumberOfOpenCreditLinesAndLoans"": 0.0456140350877193}"
452,False,infeasible,near_threshold,gurobi_exact:Optimal|refined_4,0.3205265402793884,0.3202325701713562,0.020232570171356212,0.2463018151044995,"{""NumberOfOpenCreditLinesAndLoans"": -0.13683434172472042}"
480,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_9,0.8425227999687195,0.8423123955726624,0.5423123955726623,0.2778947368421053,"{""NumberOfOpenCreditLinesAndLoans"": -0.15438596491228074}"
522,False,near_feasible,near_threshold,gurobi_exact:Optimal|refined_4,0.3040958642959595,0.3039219081401825,0.003921908140182506,0.17840707826239424,"{""NumberOfOpenCreditLinesAndLoans"": -0.09911504347910638}"
537,False,near_feasible,near_threshold,gurobi_exact:Optimal|refined_3,0.3075154423713684,0.30741140246391296,0.007411402463912975,0.04421052631579223,"{""NumberOfOpenCreditLinesAndLoans"": 0.024561403508771923}"
